OBJECTID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,POP2000,WHITE,BLACK,AMER_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALE,FEMALE,M_UNDER5,M5_9,M10_14,M15_17,M18_19,M20,M21,M22_24,M25_29,M30_34,M35_39,M40_44,M45_49,M50_54,M55_59,M60_61,M62_64,M65_66,M67_69,M70_74,M75_79,M80_84,M_OVER85,F_UNDER5,F5_9,F10_14,F15_17,F18_19,F20,F21,F22_24,F25_29,F30_34,F35_39,F40_44,F45_49,F50_54,F55_59,F60_61,F62_64,F65_66,F67_69,F70_74,F75_79,F80_84,F_OVER85,HOUSEHOLDS,AV_HH_SIZE,HSEHLD_1M,HSEHLD_1F,AV_FAM_SZ,HSE_UNITS,URBAN,RURAL,VACANT,OWNER_OCC,RENTER_OCC,median_hh_income2014,mean_hh_income2014,pct_income_less_poverty,adr_2005,adr_2006,adr_2007,aevr_2005,aevr_2006,aevr_2007,pm2.5_2005,pm2.5_2006,pm2.5_2007,so2_2005,so2_2006,so2_2007
69,36,1,974099,36001,Albany                                                                                              ,Albany County                                                                                       ,294565,245060,32624,605,8090,84,3102,5000,9079,140885,153680,8610,9768,9967,5883,5266,2710,2547,5866,9179,10198,10995,11050,10784,9773,6709,2134,2946,1813,2758,4512,3576,2324,1517,8039,9176,9465,5569,5509,2750,2599,6137,9544,10500,11651,11817,11358,10286,7344,2474,3368,2221,3466,6013,5550,4376,4468,120512,2,16703,23073,3,129972,117719,12253,9460,69534,50978,59940,78285,13.6,13.28,12.63,11.95,65.72,68.16,64.6,11.7,8.98,9.69,6.91,6.04,4.39
34,36,3,974100,36003,Allegany                                                                                            ,Allegany County                                                                                     ,49927,48444,361,139,358,2,183,440,454,24942,24985,1412,1710,1998,1137,1623,886,632,1002,1189,1287,1667,1785,1704,1562,1202,434,632,394,546,863,572,402,303,1386,1557,1868,1126,1364,709,573,935,1181,1383,1664,1786,1701,1538,1229,431,634,377,628,940,724,630,621,18009,3,2092,2599,3,24505,3612,20893,6496,13298,4711,42726,53827,17,13.06,8.91,10.8,34.36,28.36,36.68,12.04,9.28,9.84,10.64,8.8,9.23
26,36,5,974101,36005,Bronx                                                                                               ,Bronx County                                                                                        ,1332650,398003,475007,11371,40120,1383,329724,77042,644705,620171,712479,55807,61021,54992,30653,20875,10013,9680,28029,46600,49945,49344,43079,35911,31075,24275,8659,11401,6625,9013,12731,9646,5827,4970,53925,58746,52824,29404,20276,10522,10403,31705,54803,57110,57157,50741,43128,38596,31690,11207,15106,9220,13214,20020,16981,12182,13519,463212,3,53696,73106,3,490659,490659,0,27447,90687,372525,34284,49661,30.5,62.64,64.16,64.16,237.17,267.27,262.73,13.94,12.2,12.91,16.04,14.65,12.51
76,36,7,974102,36007,Broome                                                                                              ,Broome County                                                                                       ,200536,183153,6575,384,5585,53,1593,3193,3986,96733,103803,5747,6598,7244,4032,3722,1933,1721,3680,5239,5959,7508,8009,7026,6299,4755,1695,2450,1585,2106,3503,2812,1790,1320,5524,6363,6752,3835,3917,1948,1785,3449,5377,6165,7599,7933,7034,6563,5278,1784,2782,1749,2575,4555,4318,3262,3256,80749,2,10424,14594,3,88817,67081,21736,8068,52566,28183,46368,60688,17.8,7.48,9.16,8.91,47.59,47.98,45.25,11.6,8.67,9.79,5.48,5.2,4.85
28,36,9,974103,36009,Cattaraugus                                                                                         ,Cattaraugus County                                                                                  ,83955,79444,890,2181,386,16,191,847,791,41107,42848,2639,2993,3455,2224,1363,638,568,1270,2191,2501,2967,3375,3138,2787,2120,728,1067,641,905,1422,1084,642,389,2542,2806,3277,2027,1371,666,556,1358,2234,2527,3082,3355,3179,2675,2182,769,1048,713,1111,1660,1492,1113,1105,32023,3,3814,4777,3,39839,15131,24708,7816,23825,8198,43503,55277,17.7,11.82,10.7,7.77,43.88,46.35,55.39,12.62,9.66,10.26,11.46,9.3,9.53
7,36,11,974104,36011,Cayuga                                                                                              ,Cayuga County                                                                                       ,81963,76501,3272,256,348,20,718,848,1611,41430,40533,2473,2802,3245,1935,1121,557,438,1473,2661,3199,3677,3568,3174,2695,2052,666,897,561,802,1269,1088,647,430,2356,2753,3037,1962,1065,475,418,1142,2087,2617,3163,3371,2966,2544,1893,697,975,606,944,1624,1548,1196,1094,30558,3,3340,4677,3,35477,16271,19206,4919,22031,8527,51792,62824,12.4,12.33,8.9,7.57,43.77,39.81,39.32,11.47,8.51,9.37,7.28,6.34,6.72
20,36,13,974105,36013,Chautauqua                                                                                          ,Chautauqua County                                                                                   ,139750,131416,3051,598,502,40,2418,1725,5901,68143,71607,4161,4878,5247,3245,2481,1228,1061,2482,3706,4178,5042,5415,5196,4401,3462,1234,1633,1014,1573,2527,1886,1191,902,3921,4594,5021,3164,2470,1241,1061,2314,3703,4141,5116,5417,5027,4422,3647,1235,1834,1137,1850,3087,2784,2184,2237,54515,2,6469,8862,3,64900,37807,27093,10385,37750,16765,42720,53971,19.4,12.93,11.21,9.74,71.54,62.22,55.65,11.94,8.81,10.01,11.48,9.24,9.26
37,36,15,974106,36015,Chemung                                                                                             ,Chemung County                                                                                      ,91070,82840,5303,210,709,16,681,1311,1609,45000,46070,2838,3138,3381,2046,1263,621,562,1661,2758,3277,3634,3774,3407,2995,2161,781,1054,668,920,1554,1295,775,437,2610,2978,3267,1952,1266,643,573,1409,2391,2770,3459,3682,3365,2931,2326,769,1106,794,1102,2056,1923,1417,1281,35049,2,3885,5891,3,37745,28303,9442,2696,24149,10900,49685,64707,16,15.19,13.64,13.2,88.23,83.4,75.7,11.46,8.52,9.64,7.08,6.45,6.55
24,36,17,974107,36017,Chenango                                                                                            ,Chenango County                                                                                     ,51401,50191,422,141,146,11,112,378,548,25309,26092,1551,1858,2108,1336,653,253,241,715,1315,1595,2062,2109,1846,1759,1482,469,678,394,556,890,707,416,316,1503,1890,2029,1186,600,239,220,689,1322,1624,2031,2060,1864,1775,1451,501,733,422,614,992,929,727,691,19926,3,2223,2971,3,23890,4098,19792,3964,15005,4921,44427,55265,16.4,6.65,8.37,8.16,43.59,46.9,49.94,11.65,8.53,9.84,6.9,6.1,4.94
2,36,19,974108,36019,Clinton                                                                                             ,Clinton County                                                                                      ,79894,74562,2863,291,537,17,878,746,1964,40907,38987,2088,2619,2965,1774,1398,851,842,2064,2808,3234,3790,3513,2992,2549,1946,665,926,585,791,1103,750,367,287,2014,2540,2717,1631,1597,902,789,1501,2166,2533,3235,3144,2719,2417,1846,675,961,625,905,1389,1083,795,803,29423,2,3327,4411,3,33091,12161,20930,3668,20157,9266,50985,64485,15.2,21.04,12.36,14.66,105.55,103.94,108.77,8.45,6.04,6.94,3.2,2.4,4.18
41,36,21,974109,36021,Columbia                                                                                            ,Columbia County                                                                                     ,63094,58105,2850,132,507,20,568,912,1598,31394,31700,1719,2114,2455,1723,774,301,298,778,1514,1978,2482,2547,2491,2340,1930,616,845,544,794,1228,912,604,407,1638,2074,2228,1233,631,244,253,748,1517,1970,2439,2501,2435,2391,1991,679,864,583,815,1300,1250,921,995,24796,2,2870,3838,3,30207,7923,22284,5411,17504,7292,58625,78941,10.4,7.53,5.83,6.15,44.89,43.2,45.72,11.82,9.2,10.01,7.6,6.24,5.39
65,36,23,974110,36023,Cortland                                                                                            ,Cortland County                                                                                     ,48599,47115,416,133,201,5,154,575,565,23479,25120,1518,1584,1774,1032,1147,606,612,1118,1310,1551,1740,1789,1670,1460,1164,392,532,302,435,646,567,307,223,1348,1644,1615,991,1475,752,715,1132,1330,1562,1810,1809,1660,1542,1206,411,542,320,511,799,797,585,564,18210,3,2024,2803,3,20116,11123,8993,1906,11714,6496,48404,61284,13.5,8.11,7.48,6.65,7.5,10.52,33.05,11.35,8.48,9.5,5.57,5.19,5.12
46,36,25,974111,36025,Delaware                                                                                            ,Delaware County                                                                                     ,48055,46346,568,149,257,6,254,475,983,23660,24395,1246,1493,1834,1191,828,358,233,634,1033,1288,1644,1717,1738,1746,1534,502,750,488,683,1088,821,480,331,1223,1473,1613,1011,740,284,252,611,1042,1367,1643,1794,1767,1687,1482,570,799,483,722,1204,1020,771,837,19270,2,2398,3054,3,28952,3504,25448,9682,14596,4674,44183,56099,13.5,11.78,11.39,10.53,32.87,32.32,27.86,11.19,8.91,9.5,7.58,6.15,5.09
49,36,27,974112,36027,Dutchess                                                                                            ,Dutchess County                                                                                     ,280150,234385,26097,609,7048,88,6626,5297,18060,140127,140023,8988,10434,10677,6025,4645,2283,1987,4828,7838,10243,12903,12642,10654,9403,7103,2261,3108,1961,2776,3809,2771,1656,1132,8475,9976,10125,5568,4417,2167,1944,4195,7193,9789,12093,12027,10374,9276,7218,2406,3195,2043,3013,4725,3991,2862,2951,99536,3,10712,13769,3,106103,74553,31550,6567,68636,30900,72471,90923,8.8,11.11,10.89,12.33,46.41,54.32,54.69,11.95,9.47,10.37,10.05,7.5,7.79
25,36,29,974113,36029,Erie                                                                                                ,Erie County                                                                                         ,950265,780942,123529,5755,13835,223,13499,12482,31054,454411,495854,29467,33684,34884,19977,12938,6258,5808,16647,27124,31633,35846,37681,33699,29316,22443,7310,10319,6829,10003,16626,13041,7992,4886,28370,32256,32897,19015,12289,6289,5876,16563,27911,32500,37062,39909,35635,31412,24967,8458,12564,8242,12525,21982,20496,14997,13639,380873,2,47196,69113,3,415868,383407,32461,34995,248767,132106,51050,67277,14.7,13.92,13.46,11.75,57.63,56.42,53.08,13.86,10.54,11.13,11.7,9.27,9.8
35,36,31,974114,36031,Essex                                                                                               ,Essex County                                                                                        ,38851,36848,1092,122,160,26,267,336,851,20141,18710,991,1213,1444,875,435,158,217,710,1369,1623,1778,1757,1613,1352,1095,375,504,354,497,734,495,337,215,966,1149,1409,811,366,137,142,507,945,1144,1446,1501,1364,1252,1058,366,552,343,543,847,746,552,564,15028,2,1833,2422,3,23115,4288,18827,8087,11089,3939,50322,64341,11.4,6.1,7.34,6.35,38.66,54.19,59.69,8.56,6.21,7.13,3.66,3.05,3.21
18,36,33,974115,36033,Franklin                                                                                            ,Franklin County                                                                                     ,51134,42970,3389,3171,194,0,1056,354,2053,28067,23067,1323,1671,1868,1145,863,419,415,1402,2328,2697,2833,2585,1959,1713,1243,385,545,359,518,709,529,336,222,1199,1550,1821,1068,637,269,224,622,1238,1533,1817,1925,1668,1475,1162,396,582,374,558,935,825,588,601,17931,2,2173,2875,3,23936,7409,16527,6005,12638,5293,47110,58932,19.7,8.97,7.96,8.88,69.84,56.49,60.45,8.63,6.09,7.04,3.67,2.82,4.88
30,36,35,974116,36035,Fulton                                                                                              ,Fulton County                                                                                       ,55073,52863,992,105,293,9,308,503,884,27130,27943,1633,1972,2048,1465,710,328,261,787,1581,1862,2206,2189,1984,1919,1426,467,639,430,597,926,823,525,352,1496,1850,1928,1296,563,291,258,742,1516,1822,2126,2171,2021,1861,1498,476,701,428,717,1242,1155,890,895,21884,2,2507,3552,3,27787,12744,15043,5903,15776,6108,45722,58147,16.2,19.35,20.97,10.06,20.98,19.16,70.46,10.76,8.16,8.98,4.5,3.66,3.22
66,36,37,974117,36037,Genesee                                                                                             ,Genesee County                                                                                      ,60370,57167,1284,470,292,14,430,713,904,29717,30653,1869,2220,2378,1497,841,328,304,914,1694,2100,2524,2662,2211,1889,1532,461,718,420,626,930,804,493,302,1785,2221,2397,1363,746,290,260,836,1622,2128,2576,2530,2127,1884,1547,527,728,454,663,1189,1103,878,799,22770,3,2319,3318,3,24190,10382,13808,1420,16611,6159,50573,63416,12.6,14.98,12.85,10.18,53.27,43.23,35.04,12.81,10.03,10.3,11.68,9.66,9.96
64,36,39,974118,36039,Greene                                                                                              ,Greene County                                                                                       ,48195,43740,2664,135,260,8,734,654,2075,24858,23337,1300,1613,1706,959,1060,705,528,898,1317,1557,1875,2007,1814,1617,1414,473,695,408,591,975,629,429,288,1317,1563,1702,932,436,176,190,590,1175,1445,1766,1876,1688,1728,1400,468,661,419,625,1010,858,674,638,18256,2,2316,2778,3,26544,5347,21197,8288,13171,5085,49864,65390,13.9,10.38,9.49,7.47,41.92,46.45,42.8,11.65,9.11,9.81,6.82,5.6,5.11
71,36,41,974119,36041,Hamilton                                                                                            ,Hamilton County                                                                                     ,5379,5257,24,14,8,3,36,37,57,2689,2690,130,120,160,125,59,26,20,47,114,145,183,197,239,201,224,74,102,82,92,135,103,69,42,101,164,142,117,47,12,18,53,139,128,176,219,221,220,203,65,112,52,91,145,123,81,61,2362,2,336,362,3,7965,0,7965,5603,1872,490,52939,63710,9.5,9.82,8.02,8.05,5.89,10.03,12.07,9.97,7.24,8.14,4.03,3.05,3.06
54,36,43,974120,36043,Herkimer                                                                                            ,Herkimer County                                                                                     ,64427,63031,329,139,263,11,113,541,580,31248,33179,1831,2226,2343,1532,1001,458,387,930,1695,1914,2397,2429,2317,2164,1719,577,864,462,712,1154,993,717,426,1760,2219,2357,1424,937,376,329,927,1724,1962,2466,2525,2386,2169,1742,656,840,531,820,1415,1461,1136,1017,25734,2,2963,4143,3,32026,14475,17551,6292,18316,7418,45649,56640,15.9,9.64,10.78,7.77,33.44,29.05,32.48,10.5,7.75,8.7,4,3.4,3.25
70,36,45,974121,36045,Jefferson                                                                                           ,Jefferson County                                                                                    ,111738,99118,6517,589,1027,156,2296,2035,4677,57846,53892,4139,4338,4208,2409,1937,1361,1338,3398,4952,4669,4984,4267,3547,3129,2285,711,1064,672,907,1376,1117,623,415,4060,4066,3981,2373,1468,759,791,2164,3711,3942,4397,4072,3386,2982,2349,757,1117,692,1058,1827,1612,1121,1207,40068,3,4246,5529,3,54070,20947,33123,14002,23906,16162,48613,60174,15,8.64,7.57,6.08,49.79,46.46,39.54,10.37,7.86,8.35,5.75,5.15,5.56
74,36,47,974122,36047,Kings                                                                                               ,Kings County                                                                                        ,2465326,1015728,898350,10117,185818,1465,248557,105291,487878,1156446,1308880,93424,96744,93354,54630,35731,17745,17399,53802,93477,91186,89121,83619,74239,66050,46737,17781,23812,14105,18999,28669,22200,13279,10343,89175,92933,89512,52727,34193,17434,17533,59304,103950,101101,100550,95310,87007,79904,59263,22736,31185,18563,26172,43157,36836,25171,25164,880727,3,99681,145462,3,930866,930866,0,50139,238367,642360,46958,69599,23.4,33.11,32.98,30.37,123.53,121.08,124.33,14.42,12.28,13.29,15.28,13.93,13.27
50,36,49,974123,36049,Lewis                                                                                               ,Lewis County                                                                                        ,26944,26451,106,76,63,14,76,158,172,13379,13565,844,985,1197,748,377,155,132,394,731,827,1133,1127,1042,826,676,248,321,222,298,454,327,183,132,811,999,1170,740,335,127,142,416,737,836,1074,1123,980,757,686,207,331,227,346,517,388,305,311,10040,3,1008,1261,3,15134,1543,13591,5094,7749,2291,46990,59166,13.3,6.72,7.78,5.91,53.41,51.48,45.78,10.25,7.61,8.33,5.24,4.28,4.46
60,36,51,974124,36051,Livingston                                                                                          ,Livingston County                                                                                   ,64328,60494,1938,172,492,20,545,667,1459,32269,32059,1809,2124,2348,1483,1353,652,730,1375,1926,2278,2884,2866,2515,2114,1570,477,662,421,577,880,588,394,243,1696,2013,2204,1386,1919,1017,932,1126,1534,1952,2555,2591,2286,2013,1441,505,664,461,646,919,878,644,677,22150,3,2199,2915,3,24023,11107,12916,1873,16510,5640,52200,62604,14.7,7.5,7.65,7.79,40.72,40.55,41.09,11.94,9.39,9.58,10.13,8.68,9.48
15,36,53,974125,36053,Madison                                                                                             ,Madison County                                                                                      ,69441,67006,916,358,387,10,184,580,734,34074,35367,2102,2427,2633,1676,1675,807,576,1069,1680,2274,2709,2829,2519,2184,1836,576,807,474,673,997,759,497,295,2002,2309,2594,1564,1826,735,625,1000,1745,2271,2784,2879,2545,2233,1900,601,788,515,733,1207,1005,773,733,25368,3,2660,3557,3,28646,11690,16956,3278,19016,6352,53584,67771,11.2,8.4,9.72,7.84,49.39,46.22,40.99,11.18,8.32,9.39,5.51,4.71,4.84
44,36,55,974126,36055,Monroe                                                                                              ,Monroe County                                                                                       ,735343,581961,101078,1950,17922,220,17925,14287,39065,354327,381016,24037,27849,28569,15916,11616,5574,5168,13328,22170,25188,28381,28945,26153,23294,17439,5374,7233,4391,6345,9938,8340,5352,3727,22940,26812,27156,14977,10471,5082,4940,13495,23222,26900,30402,30565,28196,25085,18819,6047,8221,5061,7682,13051,12344,9640,9908,286512,2,34467,47575,3,304388,285725,18663,17876,186426,100086,52501,70767,15.4,11.36,11.09,10.55,56.1,56.76,55.12,12.42,9.57,9.95,10.21,9.28,9.68
38,36,57,974127,36057,Montgomery                                                                                          ,Montgomery County                                                                                   ,49708,47160,572,124,263,6,952,631,3433,23736,25972,1476,1721,1879,1099,567,234,283,695,1333,1542,1766,1793,1887,1602,1247,364,545,339,522,981,858,591,412,1464,1670,1746,1109,566,234,262,730,1350,1561,1820,1908,1781,1608,1277,405,647,419,733,1228,1326,1062,1066,20038,2,2405,3513,3,22522,14234,8288,2484,13481,6557,44167,58106,19.1,12.32,12.87,11.45,66.86,67.37,75.51,10.99,8.43,9.17,4.83,4.15,3.66
6,36,59,974128,36059,Nassau                                                                                              ,Nassau County                                                                                       ,1334544,1058285,134673,2112,63140,400,47638,28296,133282,642317,692227,44165,49248,48066,27299,15638,7274,6746,21225,35243,44296,53389,54315,49366,44788,32783,10890,14968,9450,13994,23120,18666,10876,6512,42463,46944,45375,25519,14206,6580,6500,19873,35505,47524,57400,57966,52653,48180,37090,12600,17626,11410,17494,30493,25821,17308,15697,447387,3,29623,54657,3,458151,457263,888,10764,359264,88123,98401,128206,6.3,14.92,14.26,13.57,38.35,38.41,41.19,12.35,10.79,11.18,13.09,10.21,12.11
