OBJECTID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,POP2000,WHITE,BLACK,AMER_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALE,FEMALE,M_UNDER5,M5_9,M10_14,M15_17,M18_19,M20,M21,M22_24,M25_29,M30_34,M35_39,M40_44,M45_49,M50_54,M55_59,M60_61,M62_64,M65_66,M67_69,M70_74,M75_79,M80_84,M_OVER85,F_UNDER5,F5_9,F10_14,F15_17,F18_19,F20,F21,F22_24,F25_29,F30_34,F35_39,F40_44,F45_49,F50_54,F55_59,F60_61,F62_64,F65_66,F67_69,F70_74,F75_79,F80_84,F_OVER85,HOUSEHOLDS,AV_HH_SIZE,HSEHLD_1M,HSEHLD_1F,AV_FAM_SZ,HSE_UNITS,URBAN,RURAL,VACANT,OWNER_OCC,RENTER_OCC,median_hh_income2014,mean_hh_income2014,pct_income_less_poverty,adr_2005,adr_2006,adr_2007,aevr_2005,aevr_2006,aevr_2007,pm2.5_2005,pm2.5_2006,pm2.5_2007,so2_2005,so2_2006,so2_2007
61,36,61,974129,36061,New York                                                                                            ,New York County                                                                                     ,1537195,835610,267302,7617,144538,1069,217383,63676,417816,729534,807661,38994,37164,35179,19839,17179,9485,9320,36314,79447,81953,71510,59285,51450,45274,35190,12439,16462,9930,13571,19932,14258,8373,6986,37054,36194,34109,19383,18785,11052,10436,44067,88116,81636,67282,59149,55420,53597,42869,15091,19695,12081,16776,26738,23113,16417,18601,738644,2,156022,198314,3,798144,798144,0,59500,148732,589912,71656,132838,17.7,26.09,27.25,25.27,135.63,130.72,32.4,15.41,13.15,14.55,16.35,16.25,12.88
17,36,63,974130,36063,Niagara                                                                                             ,Niagara County                                                                                      ,219846,199404,13520,2069,1267,51,876,2659,2913,106122,113724,6850,7862,8368,4814,3076,1401,1325,3326,5810,6949,8574,9227,8242,7061,5271,1771,2452,1560,2357,3816,3017,1888,1105,6315,7421,7895,4712,3157,1469,1360,3466,6046,7417,8980,9427,8189,7263,5705,1953,2808,1813,2828,4862,4475,3262,2901,87846,2,10728,14353,3,95715,74425,21290,7869,61397,26449,49091,63175,13.6,12.96,13.65,11.54,55.12,54.92,55.38,13.55,10.41,10.76,11.75,9.58,9.9
77,36,65,974131,36065,Oneida                                                                                              ,Oneida County                                                                                       ,235469,212414,13521,549,2722,55,2625,3583,7545,116913,118556,6844,8060,8744,5350,3441,1577,1540,4202,7163,8577,9767,9502,8550,7577,5790,1947,2820,1689,2450,4084,3545,2245,1449,6504,7727,8168,4847,3106,1554,1429,3427,6225,7532,8629,8899,8236,7773,6122,2071,3016,1873,2989,5190,5264,3988,3987,90496,2,10929,15802,3,102803,66922,35881,12307,60810,29686,48931,63439,16.5,16.65,16.78,14.07,50.45,51.23,48.23,10.81,8.07,9.02,4.26,3.71,3.99
55,36,67,974132,36067,Onondaga                                                                                            ,Onondaga County                                                                                     ,458336,388555,43011,3945,9569,147,4076,9033,11175,219195,239141,15282,17270,17610,10026,6770,3398,3079,7925,12886,15387,17573,18182,16386,13881,10282,3281,4651,2971,4504,6834,5564,3380,2073,14635,16716,16871,9671,7165,3519,3307,8467,14016,16199,19012,18900,17309,14959,11383,3752,5292,3467,5363,9028,8307,6110,5693,181153,2,21800,31425,3,196633,172259,24374,15480,116810,64343,54498,71456,15.2,8.79,9.18,7.24,47.06,46.08,42.73,11.55,8.41,9.75,8.37,6.43,6.14
67,36,69,974133,36069,Ontario                                                                                             ,Ontario County                                                                                      ,100224,95256,2068,223,691,20,703,1263,2149,48983,51241,3116,3703,3942,2265,1389,671,654,1419,2563,3212,4013,4180,3958,3646,2677,843,1197,685,988,1470,1186,710,496,2929,3644,3757,2119,1390,709,639,1427,2555,3313,4308,4301,3976,3691,2729,888,1201,723,1052,1725,1686,1286,1193,38370,3,4007,5459,3,42647,21513,21134,4277,28225,10145,57318,73918,10.4,8.44,5.83,7.41,54.29,48.07,43.81,11.64,9.01,9.39,9.97,8.66,8.92
73,36,71,974134,36071,Orange                                                                                              ,Orange County                                                                                       ,341367,285721,27601,1205,5157,123,13962,7598,39738,170965,170402,13439,14886,14796,8256,5554,2684,2483,5913,9505,12054,14887,14979,12580,11145,8043,2504,3170,1861,2668,3691,2899,1661,1307,12531,13860,13803,7585,4159,2005,1815,5038,9423,12437,14829,14404,12597,10899,8057,2491,3371,2109,2948,4979,4415,3319,3328,114788,3,10507,14117,3,122754,92835,29919,7966,76959,37829,70794,88441,12.6,15.55,15.7,13.54,64.58,72.01,68.04,12.42,10.47,10.96,11.23,8.73,9.74
39,36,73,974135,36073,Orleans                                                                                             ,Orleans County                                                                                      ,44171,39367,3230,203,142,12,682,535,1719,21891,22280,1456,1679,1766,1088,666,256,230,742,1372,1610,1984,1909,1561,1390,1052,349,473,316,410,562,500,327,193,1291,1496,1744,1039,561,246,217,700,1289,1717,2000,1955,1532,1383,1073,372,501,317,425,716,671,521,514,15363,3,1638,2009,3,17347,7117,10230,1984,11621,3742,48015,57666,15.5,8.74,9.21,9,40.25,43.76,33.22,12.82,10.02,10.29,11.68,9.67,10.25
23,36,75,974136,36075,Oswego                                                                                              ,Oswego County                                                                                       ,122377,118918,717,498,508,17,582,1137,1592,60402,61975,3864,4844,5122,3053,2063,1093,1096,2373,3310,4077,5118,5097,4435,3936,2898,948,1289,828,1099,1550,1189,710,410,3721,4581,4809,2754,2192,1166,1134,2243,3420,4261,5157,4942,4356,3819,3063,966,1302,783,1168,1944,1768,1275,1151,45522,3,4995,6068,3,52831,18465,34366,7309,33122,12400,47646,60820,18.5,8.89,8.25,7.2,36.2,39.07,35.1,11.07,8.25,9.09,5.89,5.08,5.62
75,36,77,974137,36077,Otsego                                                                                              ,Otsego County                                                                                       ,61676,59083,1079,141,390,31,306,646,1171,29737,31939,1502,1986,2196,1456,1425,694,729,1354,1428,1707,1920,2205,2181,2077,1649,527,773,425,696,1048,864,536,359,1443,1839,2163,1390,1747,987,766,1198,1469,1695,2180,2372,2306,2009,1744,561,719,479,731,1275,1146,856,864,23291,2,2655,3622,3,28481,5753,22728,5190,17010,6281,47884,61290,16.4,11.42,11.58,10.97,28.7,31.57,31.31,11,8.57,9.28,7.37,5.92,4.08
11,36,79,974138,36079,Putnam                                                                                              ,Putnam County                                                                                       ,95745,89876,1562,137,1190,24,1596,1360,5976,47748,47997,3338,3831,3772,2100,1016,499,462,1375,2414,3484,4587,4710,4130,3550,2629,879,1020,570,793,1093,749,437,310,3283,3641,3503,1906,791,349,354,1158,2367,3649,4931,4591,4157,3530,2683,814,1095,580,881,1269,992,733,740,32703,3,2625,3282,3,35030,26072,8958,2327,26885,5818,96262,116931,5.6,8.84,7.45,8.35,32.44,21.17,25.94,12.24,10.01,10.84,10.79,7.09,9.52
19,36,81,974139,36081,Queens                                                                                              ,Queens County                                                                                       ,2229379,982725,446189,11077,391500,1331,260387,136170,556605,1073568,1155811,73081,74303,70583,42551,28635,14913,15062,49970,92634,95355,94666,86157,72918,63371,48102,17588,23541,14095,19136,28964,23031,14283,10629,69635,71043,68060,39968,26538,14248,14448,49984,92251,94940,94293,88343,78599,72613,57553,21420,28971,17627,25522,42128,36759,25533,25335,782664,3,80461,119550,3,817250,817250,0,34586,334815,447849,57210,74140,15.3,20.95,21.32,20.67,72.92,81.13,73.35,13.04,11.81,11.67,15.18,12.78,12.83
14,36,83,974140,36083,Rensselaer                                                                                          ,Rensselaer County                                                                                   ,152538,139002,7147,347,2606,31,1360,2045,3225,74691,77847,4662,5282,5646,3209,3134,1415,1222,2790,4501,5187,5891,6138,5705,5119,3630,1155,1597,980,1510,2278,1816,1110,714,4610,5078,5374,3111,2157,1098,978,2654,4721,5300,6322,6356,5627,5205,3895,1301,1786,1141,1780,2896,2595,1959,1903,59894,2,7303,9436,3,66120,45963,20157,6226,38872,21022,60140,74105,13,16.21,15.89,13.21,55.22,59.82,58.71,11.63,8.91,9.66,6.32,4.9,4.67
48,36,85,974141,36085,Richmond                                                                                            ,Richmond County                                                                                     ,443728,344319,42914,1107,25071,182,18355,11780,53550,214485,229243,15329,16923,16474,9580,5612,2735,2699,8187,14544,16680,17996,17836,15575,14548,11154,3629,4626,2707,3972,5624,4004,2384,1667,14454,16044,15729,8725,5357,2648,2534,8160,14837,17456,18982,18860,16871,16239,12272,3863,5137,3195,4644,7664,6393,4690,4489,156341,3,15116,21216,3,163993,163993,0,7652,99695,56646,74043,90681,12.3,16.67,16.98,16.82,70.52,72.36,66.42,13.37,11.37,11.93,14.58,12.68,13.4
43,36,87,974142,36087,Rockland                                                                                            ,Rockland County                                                                                     ,286753,220538,31472,676,15826,205,10838,7198,29182,139901,146852,11144,11781,11808,6646,3717,1688,1563,4920,7853,9383,11178,10979,9914,9623,7646,2525,3557,2034,2880,3985,2627,1407,1043,10663,11059,10957,6228,3336,1491,1400,4561,7731,10016,11608,11479,10583,10745,8535,2772,3811,2296,3298,4799,3700,2650,3134,92675,3,6747,11096,3,94973,94083,890,2298,66424,26251,85808,109174,14.1,9.21,11.69,9.12,37.69,36.17,34.01,13.29,11.35,12.03,12.23,10.16,11.37
79,36,91,974143,36091,Saratoga                                                                                            ,Saratoga County                                                                                     ,200635,192579,2725,361,2077,44,846,2003,2834,98879,101756,6637,7360,7454,4318,2564,1274,1129,3102,6008,7760,8895,8648,7650,7245,5362,1681,2065,1217,1812,2708,2030,1238,722,6358,7002,7098,4021,2374,1010,1166,2955,6068,7935,9054,8832,7999,7285,5544,1626,2172,1391,1983,3174,2885,2024,1800,78165,3,8321,10814,3,86701,58163,28538,8536,56316,21849,44454,58928,19.7,17.38,16.58,12.1,74.1,67.59,61.48,10.96,8.31,9.13,4.28,4.07,3.57
13,36,93,974144,36093,Schenectady                                                                                         ,Schenectady County                                                                                  ,146555,128631,9953,341,2888,43,1769,2930,4639,70479,76076,4687,5301,5447,3050,1788,954,899,2140,3877,4762,5705,5794,5377,4769,3627,1084,1498,945,1548,2550,2131,1516,1030,4314,5032,5036,2795,1789,933,842,2235,4085,4971,5999,6026,5518,4942,3906,1235,1740,1172,1837,3324,3244,2593,2508,59684,2,7470,10781,3,65032,59808,5224,5348,39023,20661,70581,87334,6.8,7.56,8.11,7.37,31.41,29.07,27.53,11.35,8.69,9.41,5.02,4.99,4.03
16,36,95,974145,36095,Schoharie                                                                                           ,Schoharie County                                                                                    ,31582,30514,403,96,120,7,149,293,588,15713,15869,899,1023,1144,772,796,345,215,436,803,944,1160,1217,1192,1123,865,272,416,287,388,562,432,251,171,858,1052,1118,703,743,231,146,421,739,994,1162,1261,1203,1090,859,280,403,255,380,613,558,384,416,11991,2,1407,1686,3,15915,2042,13873,3924,9015,2976,57025,71184,12.8,16.58,13.84,11.69,72.84,68.13,62.52,11.25,8.76,9.42,4.89,4.22,4.14
52,36,97,974146,36097,Schuyler                                                                                            ,Schuyler County                                                                                     ,19224,18548,279,77,56,5,69,190,235,9634,9590,572,732,773,505,375,157,106,243,463,613,704,738,747,714,547,185,262,181,225,307,242,151,92,549,632,676,434,198,97,96,254,483,595,753,770,758,696,536,175,271,192,234,321,336,281,253,7374,3,763,980,3,9181,1769,7412,1807,5685,1689,51873,64152,12.9,6.76,6.74,7.9,46.11,41.95,19.46,11.06,8.43,9.1,9.12,7.4,7.93
47,36,99,974147,36099,Seneca                                                                                              ,Seneca County                                                                                       ,33342,31682,758,83,227,5,222,365,659,16679,16663,912,1231,1302,733,377,196,206,646,1060,1185,1305,1392,1300,1068,877,310,397,268,416,584,441,284,189,945,1156,1236,758,305,158,129,472,981,1085,1255,1331,1231,1145,886,288,434,257,407,715,627,434,428,12630,3,1345,1845,3,14794,6300,8494,2164,9320,3310,49225,58511,13.4,8.47,13.33,6.95,76.27,61.86,53.46,11.44,8.6,9.31,7.4,6.59,7.81
27,36,89,977309,36089,St. Lawrence                                                                                        ,St. Lawrence County                                                                                 ,111931,105782,2664,977,800,32,773,903,2008,56861,55070,3086,3741,4106,2628,2772,1461,1531,2736,3470,3850,4485,4360,4164,3528,2723,918,1313,776,1090,1728,1214,726,455,2979,3509,3834,2338,2663,1205,1153,1907,2976,3385,4014,4111,3912,3394,2710,964,1462,862,1338,2114,1797,1171,1272,40506,2,4491,6248,3,49721,16085,33636,9215,28606,11900,48932,60595,13,6.54,6.25,5.36,33.54,38.61,40.22,9.37,6.74,7.22,5.05,4.11,5.9
3,36,101,974148,36101,Steuben                                                                                             ,Steuben County                                                                                      ,98726,95198,1347,266,893,16,208,798,796,48365,50361,3050,3631,4039,2416,1280,535,496,1373,2525,3073,3721,3880,3781,3352,2620,906,1305,782,1126,1734,1317,858,565,3018,3577,3767,2201,1224,509,487,1437,2768,3123,3815,3912,3774,3342,2604,941,1273,834,1277,2062,1831,1340,1245,39071,2,4525,6121,3,46132,17311,28821,7061,28590,10481,47733,61179,15.9,13.15,13.71,8.73,52.8,51.99,47.59,10.97,8.57,9.02,10.11,8.16,8.8
80,36,103,974149,36103,Suffolk                                                                                             ,Suffolk County                                                                                      ,1419369,1200755,98553,3807,34711,484,51875,29184,149411,695010,724359,51349,56447,53266,28969,16971,8205,7844,23040,41522,53849,64075,60781,50216,45773,35867,11824,15584,9492,13418,19400,13912,7934,5272,48955,53243,50664,27188,15430,7702,7130,21744,41638,54686,65789,60955,51879,49725,39668,12841,16992,10582,15359,23655,19519,14285,14730,469299,3,34429,51564,3,522323,481604,40719,53024,374360,94939,88323,109783,6.8,13.61,13.91,12.76,53.52,53.06,51.12,11.43,9.64,10.15,11.74,9,9.23
56,36,105,974150,36105,Sullivan                                                                                            ,Sullivan County                                                                                     ,73966,63103,6292,197,825,29,2139,1381,6839,37643,36323,2241,2596,2891,1772,979,455,387,1018,1909,2614,3128,3211,2912,2707,2188,788,1005,604,902,1410,1002,587,337,2114,2537,2685,1616,836,386,369,959,1732,2392,2911,2871,2678,2631,2154,712,998,632,847,1461,1221,812,769,27661,3,3647,4080,3,44730,9950,34780,17069,18834,8827,49388,63971,18,23.31,14.63,13.72,73.59,72.12,61.55,11.96,9.58,10.35,10.63,8.21,7.27
4,36,107,974151,36107,Tioga                                                                                               ,Tioga County                                                                                        ,51784,50501,282,112,296,7,108,478,509,25576,26208,1680,1979,2241,1379,692,267,225,710,1245,1570,2085,2432,1935,1672,1413,433,673,410,590,852,569,327,197,1582,1838,2082,1226,566,233,207,725,1249,1646,2297,2402,1912,1780,1398,450,775,435,636,899,797,505,568,19725,3,1895,2527,3,21410,7608,13802,1685,15343,4382,56167,71107,9.5,2.52,2.72,3.68,15.5,15.91,9.5,10.99,8.58,9.07,5.6,5.44,5.48
57,36,109,974152,36109,Tompkins                                                                                            ,Tompkins County                                                                                     ,96501,82507,3508,275,6943,36,1052,2180,2968,47667,48834,2161,2667,2803,1904,4353,2585,2395,3447,3547,3040,2967,3001,3054,2808,1863,587,754,435,701,976,779,527,313,2124,2409,2541,1687,4451,2351,2472,3000,3304,3024,3112,3255,3328,2838,2043,527,842,510,762,1253,1184,878,939,36420,2,5305,6521,3,38625,21645,16980,2205,19574,16846,52836,72701,20.6,4.53,4.32,5.1,28.26,27.6,24.92,11.31,8.44,9.33,6.61,5.84,6.36
36,36,111,974153,36111,Ulster                                                                                              ,Ulster County                                                                                       ,177749,158042,9646,472,2199,51,3826,3513,10941,88460,89289,5085,6127,6477,3941,2299,1165,1147,3191,5173,6358,7896,7944,7069,6333,4809,1492,2066,1230,1857,2786,2039,1164,812,4673,6000,6133,3335,2495,1132,1235,2865,4658,5875,7454,7473,7087,6472,4904,1560,2115,1346,2069,3308,2878,2049,2173,67499,2,8272,10560,3,77656,37219,40437,10157,45906,21593,58592,77548,12.3,11.07,11.05,10.67,51.52,53.76,47.31,11.83,9.4,10.19,9.71,7.09,6.81
68,36,113,974154,36113,Warren                                                                                              ,Warren County                                                                                       ,63303,61705,395,130,347,7,145,574,663,30701,32602,1777,2202,2439,1361,851,368,319,912,1596,2094,2522,2496,2436,2250,1799,551,776,490,733,1111,821,464,333,1654,2157,2261,1341,799,340,295,890,1718,2167,2651,2638,2428,2279,1889,594,858,531,850,1412,1221,772,857,25726,2,2948,4072,3,34852,16844,18008,9126,17952,7774,56601,71229,11.9,11.96,14.34,11.41,41.56,50.95,50.05,9.8,7.4,8.07,4.01,3.45,3.14
58,36,115,974155,36115,Washington                                                                                          ,Washington County                                                                                   ,61042,57973,1785,125,172,9,510,468,1232,31301,29741,1745,2172,2481,1394,954,519,483,1073,1964,2405,2643,2539,2374,2017,1631,557,760,459,678,987,748,421,297,1668,2010,2273,1285,653,262,291,818,1552,2038,2410,2387,2203,1948,1643,558,782,519,750,1177,1025,756,733,22458,3,2291,3103,3,26794,7839,18955,4336,16698,5760,51494,61153,13,7.04,9.56,9.36,37.14,34.25,32.83,10.46,8.06,8.72,4.16,3.64,3.68
51,36,117,974156,36117,Wayne                                                                                               ,Wayne County                                                                                        ,93765,87954,3044,245,437,14,819,1252,2263,46430,47335,3158,3767,3979,2282,1197,432,410,1266,2435,3408,4139,4075,3551,3215,2405,781,1073,697,905,1305,917,600,433,3016,3586,3763,2164,1016,440,428,1222,2534,3408,4137,4082,3507,3160,2441,786,1103,676,1005,1502,1320,1025,1014,34908,3,3362,4452,3,38767,14325,24442,3859,27097,7811,51597,63553,11.9,7.68,8.12,5.99,45.88,41.67,39.45,11.66,8.85,9.37,7.71,7.31,8.11
78,36,119,974157,36119,Westchester                                                                                         ,Westchester County                                                                                  ,923459,658858,131132,2343,41367,371,61227,28161,144124,441722,481737,32784,34853,32933,18308,10019,4560,4513,14300,26851,33139,38497,37348,32654,29342,22434,7467,10065,6171,9072,14185,10723,6524,4980,31458,33140,30824,16497,9539,4602,4596,14391,27883,35594,41312,39876,35512,32490,25876,8893,11945,7508,11288,18561,15806,11467,12679,337142,3,31882,54714,3,349445,337578,11867,12303,202673,134469,83422,133325,9.6,13.15,15.04,14.23,59,63.31,59.89,12.73,10.74,11.5,12.26,9.7,10.97
31,36,121,974158,36121,Wyoming                                                                                             ,Wyoming County                                                                                      ,43424,39880,2395,116,161,10,572,290,1278,23535,19889,1161,1490,1686,1046,607,252,257,997,1835,2136,2396,2163,1886,1451,1072,379,506,268,401,569,485,299,193,1120,1425,1531,985,488,204,184,552,1072,1314,1671,1663,1477,1299,1020,346,456,299,431,720,649,504,479,14906,3,1580,1873,3,16940,6149,10791,2034,11426,3480,53012,61921,10.2,14.26,12.65,8.94,40.91,37.49,33.87,12.71,9.93,10.26,11.67,9.54,9.99
10,36,123,974159,36123,Yates                                                                                               ,Yates County                                                                                        ,24621,24103,139,36,69,4,88,182,228,12016,12605,859,967,955,620,404,178,137,334,527,667,856,924,815,825,684,232,350,209,293,465,347,214,154,774,896,891,606,516,211,161,346,590,686,908,916,920,759,696,231,363,222,312,535,426,309,331,9029,3,933,1287,3,12064,2938,9126,3035,6960,2069,50061,66161,15.4,50.14,49.55,40.42,50.14,49.55,40.42,11.3,8.67,9.15,9.79,8.26,8.21
